id,identifier,height,weight,base_experience,order,is_default,flavor_text
429,mismagius,9,44,173,244,1,"Its cries sound like incantations.
Those hearing it are tormented
by headaches and hallucinations."
430,honchkrow,9,273,177,242,1,"Becoming active at night, it is
known to swarm with numerous
MURKROW in tow."
431,glameow,5,39,62,489,1,"It claws if displeased and purrs
when affectionate. Its fickleness
is very popular among some."
432,purugly,10,438,158,490,1,"It is a brazen brute that barges
its way into another Pokémon’s
nest and claims it as its own."
433,chingling,2,6,57,414,1,"It emits cries by agitating an orb
at the back of its throat.
It moves with flouncing hops."
434,stunky,4,192,66,491,1,"It protects itself by spraying a
noxious fluid from its rear. The
stench lingers for 24 hours."
435,skuntank,10,380,168,492,1,"It sprays a vile-smelling fluid
from the tip of its tail to attack.
Its range is over 160 feet."
436,bronzor,5,605,60,493,1,"Implements shaped like it were
discovered in ancient tombs. It is
unknown if they are related."
437,bronzong,13,1870,175,494,1,"One caused a news sensation when
it was dug up at a construction
site after a 2,000-year sleep."
438,bonsly,5,150,58,228,1,"It looks as if it is always crying.
It is actually adjusting its body’s
fluid levels by eliminating excess."
439,mime-jr,6,130,62,146,1,"It habitually mimics foes. Once
mimicked, the foe cannot take its
eyes off this Pokémon."
440,happiny,6,244,110,132,1,"It loves round white things.
It carries an egg-shaped rock in
imitation of CHANSEY."
441,chatot,5,19,144,495,1,"It can learn and speak human
words. If they gather, they all
learn the same saying."
442,spiritomb,10,1080,170,496,1,"A Pokémon that was formed by 108
spirits. It is bound to a fissure
in an odd keystone."
443,gible,7,205,60,497,1,"It nests in small, horizontal holes
in cave walls. It pounces to catch
prey that stray too close."
444,gabite,14,560,144,498,1,"There is a long-held belief that
medicine made from its scales will
heal even incurable illnesses."
445,garchomp,19,950,270,499,1,"When it folds up its body and
extends its wings, it looks like a
jet plane. It flies at sonic speed."
446,munchlax,6,1050,78,185,1,"It wolfs down its weight in food
once a day, swallowing food whole
with almost no chewing."
447,riolu,7,202,57,501,1,"The aura that emanates from its
body intensifies to alert others
if it is afraid or sad."
448,lucario,12,540,184,502,1,"It has the ability to sense the
auras of all things.
It understands human speech."
449,hippopotas,8,495,66,504,1,"It lives in arid places. Instead
of perspiration, it expels grainy
sand from its body."
450,hippowdon,20,3000,184,505,1,"It blasts internally stored sand
from ports on its body to create
a towering twister for attack."
451,skorupi,8,120,66,506,1,"It grips prey with its tail claws
and injects poison. It tenaciously
hangs on until the poison takes."
452,drapion,13,615,175,507,1,"It has the power in its clawed
arms to make scrap of a car. The
tips of its claws release poison."
453,croagunk,7,230,60,508,1,"Its cheeks hold poison sacs.
It tries to catch foes off guard
to jab them with toxic fingers."
454,toxicroak,13,444,172,509,1,"Its knuckle claws secrete a toxin
so vile that even a scratch could
prove fatal."
455,carnivine,14,270,159,510,1,"It attracts prey with its sweet-
smelling saliva, then chomps down.
It takes a whole day to eat prey."
456,finneon,4,70,66,511,1,"After long exposure to sunlight,
the patterns on its tail fins shine
vividly when darkness arrives."
457,lumineon,12,240,161,512,1,"It lives on the deep-sea floor.
It attracts prey by flashing the
patterns on its four tail fins."
458,mantyke,10,650,69,273,1,"A friendly Pokémon that captures
the subtle flows of seawater using
its two antennae."
459,snover,10,505,67,513,1,"It lives on snowy mountains.
Having had little contact with
humans, it is boldly inquisitive."
460,abomasnow,22,1355,173,514,1,"It whips up blizzards in mountains
that are always buried in snow.
It is the abominable snowman."
461,weavile,11,340,179,261,1,"They live in cold regions, forming
groups of four or five that hunt
prey with impressive coordination."
462,magnezone,12,1800,241,95,1,"It evolved from exposure to a
special magnetic field.
Three units generate magnetism."
463,lickilicky,17,1400,180,126,1,"It wraps things with its extensible
tongue. Getting too close to it
will leave you soaked with drool."
464,rhyperior,24,2828,241,131,1,"It puts rocks in holes in its palms
and uses its muscles to shoot them.
GEODUDE are shot at rare times."
465,tangrowth,20,1286,187,136,1,"It ensnares prey by extending
arms made of vines. Losing arms to
predators does not trouble it."
466,electivire,18,1386,243,155,1,"It pushes the tips of its two tails
against the foe, then lets loose
with over 20,000 volts of power."
467,magmortar,16,680,243,158,1,"It blasts fireballs of over 3,600
degrees F from the ends of its
arms. It lives in volcanic craters."
468,togekiss,15,380,245,218,1,"It will never appear where there
is strife. Its sightings have
become rare recently."
469,yanmega,19,515,180,238,1,"By churning its wings, it creates
shock waves that inflict critical
internal injuries to foes."
470,leafeon,10,255,184,173,1,"Just like a plant, it uses
photosynthesis. As a result, it is
always enveloped in clear air."
471,glaceon,8,259,184,174,1,"As a protective technique, it can
completely freeze its fur to make
its hairs stand like needles."
472,gliscor,20,425,179,253,1,"It observes prey while hanging
inverted from branches. When the
chance presents itself, it swoops!"
473,mamoswine,25,2910,239,268,1,"Its impressive tusks are made of
ice. The population thinned when it
turned warm after the ice age."
474,porygon-z,9,340,241,178,1,"Additional software was installed
to make it a better Pokémon.
It began acting oddly, however."
475,gallade,16,520,233,327,1,"A master of courtesy and
swordsmanship, it fights using
extending swords on its elbows."
476,probopass,14,3400,184,344,1,"It exudes strong magnetism from
all over. It controls three small
units called Mini-Noses."
477,dusknoir,22,1066,236,412,1,"The antenna on its head captures
radio waves from the world of spirits
that command it to take people there."
478,froslass,13,266,168,420,1,"It freezes foes with an icy breath
nearly -60 degrees F. What seems
to be its body is actually hollow."
479,rotom,3,3,154,516,1,"Its body is composed of plasma. It
is known to infiltrate electronic
devices and wreak havoc."
480,uxie,3,3,261,522,1,"Known as “The Being of Knowledge.”
It is said that it can wipe out the
memory of those who see its eyes."
481,mesprit,3,3,261,523,1,"Known as “The Being of Emotion.”
It taught humans the nobility of
sorrow, pain, and joy."
482,azelf,3,3,261,524,1,"Known as “The Being of Willpower.”
It sleeps at the bottom of a lake
to keep the world in balance."
483,dialga,54,6830,306,525,1,"It has the power to control time.
It appears in Sinnoh-region myths
as an ancient deity."
484,palkia,42,3360,306,526,1,"It has the ability to distort
space. It is described as a deity
in Sinnoh-region mythology."
485,heatran,17,4300,270,527,1,"It dwells in volcanic caves. It
digs in with its cross-shaped feet
to crawl on ceilings and walls."
486,regigigas,37,4200,302,528,1,"There is an enduring legend that
states this Pokémon towed
continents with ropes."
487,giratina-altered,45,7500,306,529,1,"A Pokémon that is said to live in a
world on the reverse side of ours.
It appears in an ancient cemetery."
488,cresselia,15,856,270,531,1,"Shiny particles are released from
its wings like a veil. It is said
to represent the crescent moon."
489,phione,4,31,216,532,1,"A Pokémon that lives in warm seas.
It inflates the flotation sac on its
head to drift and search for food."
490,manaphy,3,14,270,533,1,"Born on a cold seafloor, it
will swim great distances to
return to its birthplace."
491,darkrai,15,505,270,534,1,"It can lull people to sleep and
make them dream. It is active
during nights of the new moon."
492,shaymin-land,2,21,270,535,1,"It lives in flower patches and
avoids detection by curling up
to look like a flowering plant."
493,arceus,32,3200,324,537,1,"It is described in mythology as
the Pokémon that shaped the
universe with its 1,000 arms."
494,victini,4,40,270,539,1,"Un Pokémon qui amène la victoire. On dit
que les Dresseurs qui le possèdent
peuvent gagner n’importe quel combat."
495,snivy,6,81,62,540,1,"Un Pokémon intelligent et très calme.
Lorsqu’il a reçu suffisamment de
lumière du soleil, il devient plus agile."
496,servine,8,160,145,541,1,"Il court comme s’il glissait sur le sol.
Il déroute l’ennemi par ses mouvements
et l’assomme d’un coup de liane."
497,serperior,33,630,238,542,1,"Il peut paralyser l’ennemi d’un regard.
Il amplifie l’énergie du soleil dans
son corps."
498,tepig,5,99,62,543,1,"Il évite agilement les attaques ennemies
et crache des boules de feu par le groin.
Il aime griller des Baies pour les manger."
499,pignite,10,555,146,544,1,"Quand le feu dans son corps s’embrase,
sa vitesse et son agilité augmentent.
En cas d’urgence, il crache de la fumée."
500,emboar,16,1500,238,545,1,"Il embrase ses poings avec les flammes
sur son menton et cogne l’ennemi avec.
C’est un Pokémon très solidaire."
501,oshawott,5,59,62,546,1,"Il combat avec le coupillage de son
ventre. Il peut parer un assaut et
immédiatement contre-attaquer."
502,dewott,8,245,145,547,1,"L’apprentissage de sa technique de
combat, qui utilise élégamment ses deux
coupillages, est extrêmement rigoureux."
503,samurott,15,946,238,548,1,"Il peut terrasser ses ennemis d’un coup
de la lame enchâssée dans son armure,
et les faire taire d’un seul regard."
504,patrat,5,116,51,549,1,"Ils stockent à manger dans leurs
bajoues et font le guet indéfiniment. Ils
se font des signes en remuant la queue."
505,watchog,11,270,147,550,1,"Il attaque en crachant les graines des
Baies qu’il accumule dans ses bajoues.
S’il voit un ennemi, il dresse la queue."
506,lillipup,4,41,55,551,1,"Il fait vaillamment face à des ennemis
très puissants, mais il est intelligent
et évite les combats trop inégaux."
507,herdier,9,147,130,552,1,"Les poils qui entourent son corps
comme un manteau sont extrêmement
durs et amortissent les coups."
508,stoutland,12,610,221,553,1,"Il sauve les gens bloqués dans les
montagnes par des tempêtes de neige.
Ses longs poils le protègent du froid."
509,purrloin,4,101,56,554,1,"Il vole les gens pour le plaisir, mais il
est tellement mignon que ses victimes
finissent toujours par lui pardonner."
510,liepard,11,375,156,555,1,"Un Pokémon insaisissable. Son style
et son pelage magnifique attirent de
nombreux Dresseurs."
511,pansage,6,105,63,556,1,"Il vit dans les forêts profondes.
Manger la feuille qui pousse sur
sa tête fait disparaître la fatigue."
512,simisage,11,305,174,557,1,"Il a un tempérament violent et se
bat avec sa queue pleine d’épines.
La feuille sur sa tête est très amère."
513,pansear,6,110,63,558,1,"Quand il s’énerve, la mèche sur sa
tête chauffe à 300 °C. Il s’en sert
pour griller des Baies et les manger."
514,simisear,10,280,174,559,1,"Il adore les aliments sucrés. Ils lui
servent d’énergie pour alimenter le
feu à l’intérieur de son corps."
515,panpour,6,135,63,560,1,"L’eau contenue dans la mèche sur sa
tête est pleine de nutriments. Elle fait
pousser les plantes avec vigueur."
516,simipour,10,290,174,561,1,"Il stocke de l’eau dans les mèches de sa
tête. Quand il est à sec, il se ravitaille
en aspirant de l’eau par la queue."
517,munna,6,233,58,562,1,"Quand Munna mange un rêve, celui-ci
est aussitôt oublié par le rêveur.
Il lévite en permanence."
518,musharna,11,605,170,563,1,"La fumée qui sort de son front contient
les rêves de nombreuses personnes et
ceux de nombreux Pokémon."
519,pidove,3,21,53,564,1,"Il suit scrupuleusement les consignes
de son Dresseur, mais il a du mal à
comprendre les ordres trop compliqués."
520,tranquill,6,150,125,565,1,"Aussi éloigné qu’il puisse se trouver,
il parvient toujours à retourner
auprès de son Dresseur."
521,unfezant,12,290,215,566,1,"Le mâle intimide ses ennemis
avec ses caroncules.
La femelle vole mieux que le mâle."
522,blitzle,8,298,59,567,1,"Leur crinière scintille quand ils lâchent
une décharge électrique. Ils se servent
de ces scintillements pour communiquer."
523,zebstrika,16,795,174,568,1,"Il réagit à la vitesse de l’éclair.
Lorsqu’il est en plein galop, on peut
entendre le grondement du tonnerre."
524,roggenrola,4,180,56,569,1,"Il a une oreille hexagonale. Son
corps, compressé dans des strates
profondes, est dur comme de l’acier."
525,boldore,9,1020,137,570,1,"Quand il est gonflé à bloc, ses cristaux
orangés scintillent. Il cherche de l’eau
souterraine dans les grottes."
526,gigalith,17,2600,227,571,1,"Il comprime de l’énergie dans son corps,
et ses attaques sont assez puissantes
pour renverser des montagnes."
527,woobat,4,21,63,572,1,"Il vit dans les forêts sombres et les
grottes. Il émet des ultrasons par
le nez pour se diriger."
528,swoobat,9,105,149,573,1,"Il émet des ondes sonores de
différentes fréquences par le nez.
Certaines peuvent briser des rochers."
529,drilbur,3,85,66,574,1,"Il peut creuser à plus de 50 km/h et
faire la course avec une voiture roulant
sur le terrain qu’il creuse."
530,excadrill,7,404,178,575,1,"Ses vrilles en acier peuvent transpercer
des poutres en fer. Il est très employé
dans la construction de tunnels."
531,audino,11,310,390,576,1,"Il ausculte les gens avec ses antennes
auriculaires pour juger de leurs
émotions ou de leur santé."
532,timburr,6,125,61,577,1,"Il combat avec une poutre. Quand il en
arrive à transporter de lourds madriers
sans problème, l’évolution est proche."
533,gurdurr,12,400,142,578,1,"Même une armée de catcheurs se
jetant sur son corps hyper musclé
ne le ferait pas ciller."
534,conkeldurr,14,870,227,579,1,"On pense que la recette du ciment
a été enseignée aux humains par
un Bétochef il y a 2 000 ans."
535,tympole,5,45,59,580,1,"Il prévient ses camarades du danger en
faisant vibrer ses joues pour générer
un signal d’alarme très aigu."
536,palpitoad,8,170,134,581,1,"Quand il fait vibrer la bosse sur sa tête,
il provoque des ondulations dans l’eau,
mais aussi des tremblements de terre."
537,seismitoad,15,620,225,582,1,"Il fait gicler un liquide paralysant des
pustules sur sa tête, et attaque
ses ennemis à coups de vibrations."
538,throh,13,555,163,583,1,"Quand il noue sa ceinture, il devient
plus puissant. Les Judokrak sauvages
tressent leur ceinture avec des lianes."
539,sawk,14,510,163,584,1,"Dans les montagnes où il s’entraîne, on
peut l’entendre donner des coups de
poing aux rochers et aux grands arbres."
540,sewaddle,3,25,62,585,1,"Quand il éclot, Manternel lui coud son
vêtement. Il dort en cachant son
visage sous sa capuche."
541,swadloon,5,73,133,586,1,"Dans les forêts où il vit, la végétation
pousse bien car il transforme les
feuilles mortes en engrais."
542,leavanny,12,205,221,587,1,"Quand il trouve de petits Pokémon, il
leur coud des vêtements de feuilles en
utilisant ses coupoirs et son fil adhésif."
543,venipede,4,53,52,588,1,"Sa morsure est très venimeuse.
Elle paralyse même les grands
Pokémon Oiseaux, ses prédateurs."
544,whirlipede,12,585,126,589,1,"Protégé par sa solide carapace,
il fonce sur ses ennemis en
roulant comme un pneu."
545,scolipede,25,2005,214,590,1,"Il accule l’ennemi par ses mouvements
rapides et l’attaque avec ses cornes.
Il ne s’arrête qu’au coup de grâce."
546,cottonee,3,6,56,591,1,"Si on l’attaque, il projette un nuage de
coton. L’ennemi le confond avec lui, ce
qui permet à Doudouvet de s’enfuir."
547,whimsicott,7,66,168,592,1,"Il se faufile comme le vent par les
espaces les plus étroits, en laissant
une touffe de poils blancs."
548,petilil,5,66,56,593,1,"Les feuilles sur sa tête sont très
amères, mais elles remettent d’aplomb
les corps les plus éreintés."
549,lilligant,11,163,168,594,1,"Même les Dresseurs confirmés ont
du mal à faire éclore sa belle fleur.
Un Pokémon apprécié des célébrités."
550,basculin-red-striped,10,180,161,595,1,"Les bleus et les rouges se détestent
cordialement et se battent dès qu’ils
s’aperçoivent. Un Pokémon très violent."
551,sandile,7,152,58,597,1,"Il vit dans le sable des déserts.
Le sable chauffé par le soleil empêche
son corps de refroidir."
552,krokorok,10,334,123,598,1,"Ils vivent en petits groupes.
La membrane qui couvre leurs yeux
les protège du soleil."
553,krookodile,15,963,229,599,1,"Il ne laisse jamais échapper ses proies.
Ses mâchoires surpuissantes peuvent
broyer une voiture."
554,darumaka,6,375,63,600,1,"Quand le feu brûle dans son corps,
il est tout excité et court partout.
Quand le feu s’apaise, il s’endort."
555,darmanitan-standard,13,929,168,601,1,"Il entretient des flammes à 1 400 °C
dans son corps. De quoi détruire un
camion-benne d’un coup de poing!"
556,maractus,10,280,161,603,1,"Avec une danse et des sons saccadés,
il fait fuir ses prédateurs, les Pokémon
Oiseaux dévoreurs de graines de fleur."
557,dwebble,3,145,65,604,1,"Il peut facilement creuser son trou
dans les pierres les plus dures grâce
au liquide sécrété par sa bouche."
558,crustle,14,2000,166,605,1,"Entre eux, les querelles de territoire
sont fréquentes et violentes. Celui qui
se fait briser son rocher a perdu."
559,scraggy,6,118,70,606,1,"Il remonte sa peau jusqu’à son cou pour
se protéger. Elle a une constitution
élastique qui absorbe les coups."
560,scrafty,11,300,171,607,1,"Ils se regroupent pour rosser ceux
qui pénètrent sur leur territoire.
Ils crachent un venin corrosif."
561,sigilyph,14,140,172,608,1,"On dit qu’il parcourt toujours le même
itinéraire parce qu’il a gardé la mémoire
de la ville antique qu’il protégeait."
562,yamask,5,15,61,609,1,"Le motif de son masque est son visage
quand il était humain. Parfois, il le
regarde et se met à pleurer."
563,cofagrigus,17,765,169,610,1,"Il paraît qu’il avale les gens
et les transforme en momies.
Il adore manger des lingots d’or."
564,tirtouga,7,165,71,611,1,"Il a été recréé à partir d’un fossile
préhistorique. Il peut plonger jusqu’à
1 000 mètres de profondeur."
565,carracosta,12,810,173,612,1,"Il vit sur terre et en mer.
Ses bras surpuissants peuvent percer
des trous dans la coque des paquebots."
566,archen,5,95,71,613,1,"On dit qu’il serait l’ancêtre de tous les
Pokémon Oiseaux. Il ne sait pas voler et
se déplace en sautant d’arbre en arbre."
567,archeops,14,320,177,614,1,"Il s’envole après avoir pris de l’élan.
Il est assez intelligent pour chasser
ses proies en groupe."
568,trubbish,6,310,66,615,1,"Il aime les endroits mal tenus.
Le gaz qu’il rote endort
pendant une semaine."
569,garbodor,19,1073,166,616,1,"Il étrangle ses ennemis avec son bras
droit et les achève avec le gaz puant et
empoisonné qu’il exhale par la bouche."
570,zorua,7,125,66,617,1,"Il a le pouvoir de prendre l’apparence
des autres. On dit qu’il se transforme
souvent en petit enfant silencieux."
571,zoroark,16,811,179,618,1,"Ces Pokémon protègent les leurs en
prenant l’apparence de leurs ennemis.
Ils forment des groupes très soudés."
572,minccino,4,58,60,619,1,"Ils se saluent en se caressant
mutuellement le corps avec la queue,
qu’ils gardent toujours immaculée."
573,cinccino,5,75,165,620,1,"Leurs poils blancs sont recouverts
d’une graisse spéciale qui leur permet
d’esquiver facilement les attaques."
574,gothita,4,58,58,621,1,"Concentre des pouvoirs psychiques dans
ses antennes semblables à des rubans,
et regarde fixement... mais quoi?"
575,gothorita,7,180,137,622,1,"Hypnotise les Pokémon et les gens. Il y a
de nombreuses légendes de gens enlevés
dans leur sommeil par des Mesmérella."
576,gothitelle,15,440,221,623,1,"Ses pouvoirs psychiques plient l’espace
aux alentours. On y voit des étoiles
éloignées de millions d’années-lumière."
577,solosis,3,10,58,624,1,"Ils repoussent leurs assaillants
avec leurs pouvoirs psychiques et
communiquent entre eux par télépathie."
578,duosion,6,80,130,625,1,"Il possède deux cerveaux séparés
qui le font parfois agir de façon
totalement incohérente."
579,reuniclus,10,201,221,626,1,"Quand ils se tiennent par la main,
leurs cerveaux forment un réseau qui
démultiplie leurs pouvoirs psychiques."
580,ducklett,5,55,61,627,1,"Un Pokémon Oiseau doué pour la plongée.
Il nage sous l’eau à la recherche de
sphaigne, son plat préféré."
581,swanna,13,242,166,628,1,"Ils se mettent à danser à la tombée
de la nuit. Le Lakmécygne qui danse
au centre est le chef de la troupe."
582,vanillite,4,57,61,629,1,"Il exhale une haleine à -50 °C.
Il fabrique des cristaux de neige
et fait neiger autour de lui."
583,vanillish,11,410,138,630,1,"Un Pokémon qui vit dans les montagnes
enneigées. Il a émigré au sud durant
l’ère glaciaire, il y a bien longtemps."
584,vanilluxe,13,575,241,631,1,"Il avale de l’eau en grande quantité
et la transforme en nuages neigeux.
Il souffle du blizzard sur ses ennemis."
585,deerling,6,195,67,632,1,"Son pelage prend la même couleur et la
même odeur que les hautes herbes. S’il
sent un ennemi, il court s’y réfugier."
586,sawsbuck,19,925,166,633,1,"Il change d’habitat selon les saisons.
Les gens constatent le passage des
saisons en regardant ses ramures."
587,emolga,4,50,150,634,1,"Il accumule dans ses membranes
l’électricité qu’il produit dans ses
bajoues, et la relâche tout en planant."
588,karrablast,5,59,63,635,1,"Un Pokémon mystérieux qui évolue quand
il reçoit un stimulus électrique en étant
proche d’un Escargaume."
589,escavalier,10,330,173,636,1,"Il vole à toute vitesse et frappe tout
ennemi de ses lances pointues. Il combat
bravement contre les plus forts que lui."
590,foongus,2,10,59,637,1,"Grâce à sa ressemblance mystérieuse
avec une Poké Ball, il attire ses ennemis
et relâche des spores empoisonnées."
591,amoonguss,6,105,162,638,1,"Il danse en faisant tournoyer les
coupoles en forme de Poké Ball de
ses bras pour attirer ses proies."
592,frillish,12,330,67,639,1,"Il s’enfonce dans les profondeurs de la
mer en emmenant son ennemi, qu’il ligote
avec ses bras fins comme des voiles."
593,jellicent,22,1350,168,640,1,"Les bateaux qui s’aventurent sur
son territoire coulent, et Moyade
aspire l’énergie vitale des marins."
594,alomomola,12,316,165,641,1,"La membrane spéciale qui entoure
son corps a la capacité de guérir
les blessures."
595,joltik,1,6,64,642,1,"Les Statitik qui vivent en ville ont
appris à aspirer le courant depuis
les prises électriques des maisons."
596,galvantula,8,143,165,643,1,"Quand on l’attaque, il projette une
multitude de fils électrifiés pour
créer une barrière électrique."
597,ferroseed,6,188,61,644,1,"Quand il sent un danger, il réagit en
projetant toutes ses épines d’un coup
et s’enfuit en roulant sur lui-même."
598,ferrothorn,10,1100,171,645,1,"Il combat avec ses trois tentacules
épineux. Un coup de ses épines d’acier
peut briser en deux de gros rochers."
599,klink,3,210,60,646,1,"La compatibilité entre ses deux rouages
est prédéterminée. Ceux-ci ne se
fixeront à aucun autre."
600,klang,6,510,154,647,1,"Ils communiquent entre eux en changeant
leur sens de rotation. Plus ils sont en
colère, plus ils tournent vite."
601,klinklang,6,810,234,648,1,"Son noyau rouge lui permet d’accumuler
de l’énergie qu’il projette ensuite aux
alentours grâce à ses pics."
602,tynamo,2,3,55,649,1,"Tout seuls, ils ne dégagent pas beaucoup
d’électricité, mais un banc d’Anchwatt
produit la même puissance qu’un éclair."
603,eelektrik,12,220,142,650,1,"Ses taches rondes émettent de
l’électricité. Il s’enroule autour
de ses proies et les électrocute."
604,eelektross,21,805,232,651,1,"Il peut sortir de l’eau à la force de ses
bras pour attraper des proies sur la
rive. Il retourne à l’eau en un instant."
605,elgyem,5,90,67,652,1,"Avec son puissant pouvoir psychique,
il peut compresser le cerveau de ses
ennemis et déclencher des migraines."
606,beheeyem,10,345,170,653,1,"Il peut manipuler les souvenirs de
ses ennemis et fait clignoter ses doigts
tricolores pour discuter avec ses amis."
607,litwick,3,31,55,654,1,"Sa flamme brûle en consumant
l’énergie vitale des gens et
des Pokémon."
608,lampent,6,130,130,655,1,"Un Pokémon craint pour être de mauvais
augure. Il erre dans les villes à la
recherche d’âmes de défunts."
609,chandelure,10,343,234,656,1,"Il brûle en aspirant les âmes, et
hypnotise ses ennemis en faisant
osciller les flammes de ses bras."
610,axew,6,180,64,657,1,"Il broie les Baies à grands coups de
crocs. Ceux-ci repoussent plusieurs
fois, toujours plus forts et aiguisés."
611,fraxure,10,360,144,658,1,"Comme ses crocs brisés ne repoussent
pas, il les aiguise après le combat grâce
à une pierre ramassée près d’un fleuve."
612,haxorus,18,1055,243,659,1,"Il est doux, mais ne pardonne pas à ceux
qui viennent saccager son territoire.
Ses crocs peuvent découper de l’acier."
613,cubchoo,5,85,61,660,1,"Quand il est malade, sa goutte au nez
dégèle et ses capacités de type Glace
deviennent moins efficaces."
614,beartic,26,2600,170,661,1,"Il fait lui-même geler son haleine. Il
est bon nageur et sillonne les mers
du nord à la recherche de ses proies."
615,cryogonal,11,1480,170,662,1,"Si sa température monte, il se dissipe
en vapeur d’eau et disparaît. Quand
elle diminue, il redevient de glace."
616,shelmet,4,77,61,663,1,"Quand on l’attaque, il referme sa
visière pour se défendre, et
projette un poison visqueux."
617,accelgor,8,253,173,664,1,"Quand son corps s’assèche, il faiblit.
Il s’en prémunit en s’enroulant dans
plusieurs couches d’une fine muqueuse."
618,stunfisk,7,110,165,665,1,"Sa peau est si dure qu’il peut se faire
piétiner par un sumo sans rien sentir.
Il sourit en émettant de l’électricité."
619,mienfoo,9,200,70,666,1,"Il découpe ses ennemis avec ses griffes
acérées et les terrasse avec ses
enchaînements de coups hyper fluides."
620,mienshao,14,355,179,667,1,"Il se sert des poils de ses pattes
antérieures comme de fouets. Ses coups
ultrarapides sont invisibles à l’œil nu."
621,druddigon,16,1390,170,668,1,"Il utilise ses ailes pour emmagasiner la
chaleur du soleil. Si la température de
son corps baisse, il ne peut plus bouger."
622,golett,10,920,61,669,1,"Il se meut grâce à l’énergie stockée
dans son corps. Personne ne sait d’où
vient cette énergie mystérieuse."
623,golurk,28,3300,169,670,1,"Il vole à la vitesse du son. Si le
sceau sur sa poitrine est retiré,
il perd tout contrôle de lui-même."
624,pawniard,5,102,68,671,1,"Tout son corps est fait de lames.
Si une lame s’émousse, il va l’aiguiser
contre une pierre au bord d’une rivière."
625,bisharp,16,700,172,672,1,"Ils dirigent les groupes de Scalpion.
Ils se battent pour la suprématie sur le
groupe, et les perdants en sont exclus."
626,bouffalant,16,946,172,673,1,"Son pelage fourni absorbe les chocs
et lui permet d’asséner sans broncher
le plus violent des coups de tête."
627,rufflet,5,105,70,674,1,"Il casse les Baies avec ses serres.
Il combat courageusement, quelle que
soit la force de l’adversaire."
628,braviary,15,410,179,675,1,"Pour les siens, il combat au mépris du
danger. Il est capable de soulever
une voiture haut dans le ciel."
629,vullaby,5,90,74,676,1,"Ses ailes sont trop petites pour lui
permettre de voler. Quand l’évolution
approche, il sort lui-même de sa coquille."
630,mandibuzz,12,395,179,677,1,"Il construit des nids en os. Il attrape
les proies affaiblies avec ses serres
et les transporte allègrement au nid."
631,heatmor,14,580,169,678,1,"Il aspire de l’air par la queue et
entretient un brasier dans son corps.
C’est le prédateur des Fermite."
632,durant,3,330,169,679,1,"Ils portent une armure de fer et se
regroupent pour contrer les attaques
de leurs prédateurs, les Aflamanoir."
633,deino,8,173,60,680,1,"Il mord tout ce qui bouge, et mange tout
ce qu’il trouve. Il vaut mieux éviter
de s’en approcher."
634,zweilous,14,500,147,681,1,"Quand il a mangé tout ce qui traînait sur
son territoire, il migre vers d’autres
horizons. Ses 2 têtes s’entendent mal."
635,hydreigon,18,1600,270,682,1,"Un Pokémon violent qui patrouille le ciel
avec ses six ailes et se jette sur tout
ce qui bouge, pensant voir un ennemi."
636,larvesta,11,288,72,683,1,"On dit que ce Pokémon serait né du
soleil. Lorsqu’il évolue, tout son
corps est enveloppé de flammes."
637,volcarona,16,460,248,684,1,"On dit que quand le ciel s’est obscurci à
cause des cendres d’un volcan, le feu
d’un Pyrax aurait remplacé le soleil."
638,cobalion,21,2500,261,685,1,"Un Pokémon légendaire qui a combattu
les humains pour protéger les Pokémon.
Il est d’un naturel calme et posé."
639,terrakion,19,2600,261,686,1,"Il a combattu les humains pour protéger
les Pokémon ayant perdu leur foyer à
cause de leurs guerres fratricides."
640,virizion,20,2000,261,687,1,"Il a défié les humains pour protéger
les siens. Son nom est resté dans
la légende."
641,tornadus-incarnate,15,630,261,688,1,"Le bas de son corps est entouré d’une
masse d’énergie semblable à un nuage.
Il vole dans le ciel à 300 km/h."
642,thundurus-incarnate,15,610,261,690,1,"Les terres qu’il a survolées sont
recouvertes d’innombrables traces
des éclairs qu’il y a fait tomber."
643,reshiram,32,3300,306,692,1,"Un Pokémon mythique.
Il projette de sa queue un tourbillon
de flammes capable de tout emporter."
644,zekrom,29,3450,306,693,1,"Sa queue produit de l’électricité.
Il dissimule son corps dans un nuage
électrique et plane dans le ciel d’Unys."
645,landorus-incarnate,15,680,270,694,1,"Il fait fructifier les cultures partout
où il passe, c’est pourquoi on l’appelle
“le dieu des moissons”."
646,kyurem,30,3250,297,696,1,"Son corps produit une énergie à très
basse température, mais le souffle
glacé qu’il exhale l’a gelé lui-même."
647,keldeo-ordinary,14,485,261,699,1,"Il projette de l’eau depuis ses sabots
et se déplace ainsi à grande vitesse.
Sa botte secrète est le coup de sabot."
648,meloetta-aria,6,65,270,701,1,"Sa voix si particulière lui permet de
chanter des mélodies qui ensorcellent
les gens et modifient leurs émotions."
649,genesect,15,825,270,703,1,"Il y a 300 millions d’années, il était
craint comme l’ultime prédateur. Il a
été modifié par la Team Plasma."
650,chespin,0,0,0,704,1,"The quills on its head are usually soft.
When it flexes them, the points become
so hard and sharp that they can pierce rock."
651,quilladin,0,0,0,705,1,"It relies on its sturdy shell to deflect predators’
attacks. It counterattacks with its sharp quills."
652,chesnaught,0,0,0,706,1,"Its Tackle is forceful enough to flip a 50-ton tank.
It shields its allies from danger with its own body."
